g,p,rtgs
นายิกา,nA-1 ji?4 kA-1,nayika
นายแบบ,nAj1 bYp2,naibaep
นายแพทย์,nAj1 PYt3,naiphaet
นายใหญ่,nAj1 jaj2,naiyai
นารา,nA-1 rA-1,nara
นารายณ์,nA-1 rAj1,narai
นาริตะ,nA-1 ri-4 ta?2,narita
นารี,nA-1 rI-1,nari
นารีผล,nA-1 rI-1 Pon5,nariphon
นาร์กีส,nA-1 kIt2,nakit
นาวา,nA-1 wA-1,nawa
นาวาตรี,nA-1 wA-1 trI-1,nawatri
นาวาอากาศตรี,nA-1 wA-1 ?A-1 kAt2 trI-1,nawaakattri
นาวาอากาศเอก,nA-1 wA-1 ?A-1 kAt2 ?Ek2,nawaakatek
นาวาอากาศโท,nA-1 wA-1 ?A-1 kAt2 TO-1,nawaakattho
นาวาเอก,nA-1 wA-1 ?Ek2,nawaek
นาวาโท,nA-1 wA-1 TO-1,nawatho
นาวิก,nA-1 wik4,nawik
นาวิกโยธิน,nA-1 wik4 ka-2 jO-1 Tin1,nawikkayothin
นาวิน,nA-1 win1,nawin
นาวี,nA-1 wI-1,nawi
นาสิก,nA-1 sik2,nasik
นาฬิกา,nA-1 li-4 kA-1,nalika
นาฬิกาข้อมือ,nA-1 li-4 kA-1 KX-3 mV-1,nalikakhomue
นาฬิกาทราย,nA-1 li-4 kA-1 sAj1,nalikasai
นาฬิกาปลุก,nA-1 li-4 kA-1 pluk2,nalikapluk
นาฬิกาแขวน,nA-1 li-4 kA-1 KYn5,nalikakhaen
นาฬิกาแดด,nA-1 li-4 kA-1 dYt2,nalikadaet
นาอูรู,nA-1 ?U-1 rU-1,nauru
นาเกลือ,nA-1 klW-1,nakluea
นาโงยา,nA-1 NO-1 jA-3,nangoya
นาโต้,nA-1 tO-3,nato
นาโน,nA-1 nO-1,nano
นำจับ,nam1 cap2,namchap
นำทาง,nam1 TAN1,namthang
นำพา,nam1 PA-1,nampha
นำมา,nam1 mA-1,namma
นำมาซึ่ง,nam1 mA-1 svN3,nammasueng
นำมาใช้,nam1 mA-1 Caj4,nammachai
นำร่อง,nam1 rXN3,namrong
นำลิ่ว,nam1 liw3,namlio
นำสมัย,nam1 sa-1 maj5,namsamai
นำสืบ,nam1 sVp2,namsuep
นำหน้า,nam1 nA-3,namna
นำเข้า,nam1 Kaw3,namkhao
นำเที่ยว,nam1 TJw3,namthiao
นำเสนอ,nam1 sa-1 nZ-5,namsanoe
นำโด่ง,nam1 dON2,namdong
นำไปสู่,nam1 paj1 sU-2,nampaisu
นำไปใช้,nam1 paj1 Caj4,nampaichai
นิกร,ni?4 kXn1,nikon
นิกาย,ni?4 kAj1,nikai
นิการากัว,ni?4 kA-1 rA-1 kR-1,nikarakua
นิกเกิล,nik4 kZn1,nikkoen
นิคม,ni?4 Kom1,nikhom
นิคมสร้างตนเอง,ni?4 Kom1 sAN3 ton1 ?EN1,nikhomsangtoneng
นิคมอุตสาหกรรม,ni?4 Kom1 ?ut2 sA-5 ha?2 kam1,nikhomutsahakam
นิคหิต,nik4 Ka-4 hit2,nikkhahit
นิคาลัย,ni?4 KA-1 laj1,nikhalai
นิดนึง,nit4 nvN1,nitnueng
นิดหนึ่ง,nit4 nvN2,nitnueng
นิดหน่อย,nit4 nXj2,nitnoi
นิดเดียว,nit4 dJw1,nitdiao
นิตยสาร,nit4 ta-2 ja-4 sAn5,nittayasan
นิติ,ni?4 ti?2,niti
นิติกร,ni?4 ti?2 kXn1,nitikon
นิติกรรม,ni?4 ti?2 kam1,nitikam
นิติกรรมอำพราง,ni?4 ti?2 kam1 ?am1 PrAN1,nitikamamphrang
นิติการ,ni?4 ti?2 kAn1,nitikan
นิติธรรม,ni?4 ti?2 Tam1,nititham
นิตินัย,ni?4 ti?2 naj1,nitinai
นิติบัญญัติ,ni?4 ti?2 ban1 jat2,nitibanyat
นิติบุคคล,ni?4 ti?2 buk2 Kon1,nitibukkhon
นิติภาวะ,ni?4 ti?2 PA-1 wa?4,nitiphawa
นิติวิทยาศาสตร์,ni?4 ti?2 wit4 Ta-4 jA-1 sAt2,nitiwitthayasat
นิติศาสตร์,ni?4 ti-2 sAt2,nitisat
นิติเวช,ni?4 ti?2 wEt3,nitiwet
นิทรรศการ,ni?4 Tat4 sa-1 kAn1,nithatsakan
นิทรา,nit4 TrA-1,nitthra
นิทาน,ni?4 TAn1,nithan
นิทานพื้นบ้าน,ni?4 TAn1 PVn4 bAn3,nithanphuenban
นิธิ,ni-1 Ti?4,nithi
นินจา,nin1 cA-1,nincha
นินทา,nin1 TA-1,nintha
นิบาต,ni?4 bAt2,nibat
นิปปอน,nip4 pXn1,nippon
นิพจน์,ni?4 Pot4,niphot
นิพนธ์,ni?4 Pon1,niphon
นิพพาน,nip4 PAn1,nipphan
นิมนต์,ni?4 mon1,nimon
นิมิต,ni?4 mit4,nimit
นิยม,ni?4 jom1,niyom
นิยมนิยาย,ni-4 jom1 ni-4 jAj1,niyomniyai
นิยาม,ni?4 jAm1,niyam
นิยาย,ni?4 jAj1,niyai
นิร,ni?4 ra-4,nira
นิรนัย,nin1 naj1,ninnai
นิรนาม,ni?4 ra-4 nAm1,niranam
นิรภัย,ni?4 ra-4 Paj1,niraphai
นิรมิต,ni?4 ra-4 mit4,niramit
นิรันดร,ni?4 ran1 dXn1,nirandon
นิรันดร์,ni?4 ran1,niran
นิราศ,ni?4 rAt3,nirat
นิรุกติ,ni?4 ruk4 ti?2,nirukti
นิรุกติศาสตร์,ni?4 ruk4 ti?2 sAt2,niruktisat
นิรโทษ,nin1 TOt3,ninthot
นิรโทษกรรม,ni?4 ra-4 TOt3 sa-1 kam1,nirathotsakam
นิวกินี,niw1 ki?2 nI-1,niokini
นิวซีแลนด์,niw1 sI-1 lYn1,niosilaen
นิวตรอน,niw1 trXn1,niotron
นิวตัน,niw1 tan1,niotan
นิวยอร์ก,niw1 jXk2,nioyok
นิวยอร์ค,niw1 jXk2,nioyok
นิวเคลียร์,niw1 KlJ-1,niokhlia
นิวเคลียส,niw1 KlJt3,niokhliat
นิวเจอร์ซีย์,niw1 cZ-1 sI-1,niochoesi
นิวเดลี,niw1 dE-1 lI-1,niodeli
นิวเม็กซิโก,niw1 mek4 si?4 kO-1,niomeksiko
นิวแฮมป์เชียร์,niw1 hYm1 CJ-1,niohaemchia
นิสสัน,nit4 san5,nitsan
นิสัย,ni?4 saj5,nisai
นิสัยเสีย,ni?4 saj5 sJ-5,nisaisia
นิสัยใจคอ,ni?4 saj5 caj1 KX-1,nisaichaikho
นิสิต,ni?4 sit2,nisit
นิสิตเก่า,ni-4 sit2 kaw2,nisitkao
นิเทศ,ni?4 TEt3,nithet
นิเทศศาสตร์,ni?4 TEt3 sAt2,nithetsat
นิเวศ,ni?4 wEt3,niwet
นิเวศน์,ni?4 wEt3,niwet
นิเวศวิทยา,ni?4 wEt3 wit4 Ta-4 jA-1,niwetwitthaya
นิเสธ,ni?4 sEt2,niset
นิโกร,ni?4 krO-1,nikro
นิโคติน,ni?4 KO-1 tin1,nikhotin
นิโรธ,ni?4 rOt3,nirot
นิ่งงัน,niN3 Nan1,ningngan
นิ่งนอนใจ,niN3 nXn1 caj1,ningnonchai
นิ่งอึ้ง,niN3 ?vN3,ningueng
นิ่งเฉย,niN3 CZj5,ningchoei
นิ่มนวล,nim3 nRn1,nimnuan
นิ่วหน้า,niw3 nA-3,niona
นิ้วกลาง,niw4 klAN1,nioklang
นิ้วก้อย,niw4 kXj3,niokoi
นิ้วชี้,niw4 CI-4,niochi
นิ้วนาง,niw4 nAN1,nionang
นิ้วมือ,niw4 mV-1,niomue
นิ้วหัวแม่มือ,niw4 hR-5 mY-3 mV-1,niohuamaemue
นิ้วเท้า,niw4 TAw4,niothao
นิ้วโป้ง,niw4 pON3,niopong
นีออน,nI-1 ?Xn1,nion
นี่แน่ะ,nI-3 ny?3,ninae
นี่แหละ,nI-3 ly?2,nilae
นึกคิด,nvk4 Kit4,nuekkhit
นึกถึง,nvk4 TvN5,nuekthueng
นึกฝัน,nvk4 fan5,nuekfan
นึกย้อน,nvk4 jXn4,nuekyon
นึกหวัง,nvk4 waN5,nuekwang
นึกออก,nvk4 ?Xk2,nuekok
นึกได้,nvk4 daj3,nuekdai
นึกไม่ถึง,nvk4 maj3 TvN5,nuekmaithueng
นึกไม่ออก,nvk4 maj3 ?Xk2,nuekmaiok
นุงนัง,nuN1 naN1,nungnang
นุ่งกระโจมอก,nuN3 kra-1 cOm1 ?ok2,nungkrachomok
นุ่งน้อยห่มน้อย,nuN3 nXj4 hom2 nXj4,nungnoihomnoi
นุ่งลมห่มฟ้า,nuN3 lom1 hom2 fA-4,nunglomhomfa
นุ่งห่ม,nuN3 hom2,nunghom
นุ่มนวล,num3 nRn1,numnuan
นุ่มนิ่ม,num3 nim3,numnim
นเรศวร,na-4 rE-1 sRn5,naresuan
นโปเลียน,na-4 pO-1 lJn1,napolian
นโยบาย,na-4 jO-1 bAj1,nayobai
น่องแน่ง,nXN3 nYN3,nongnaeng
น่ากลัว,nA-3 klR-1,naklua
น่ากิน,nA-3 kin1,nakin
น่าขนลุก,nA-3 Kon5 luk4,nakhonluk
น่าขบขัน,nA-3 Kop2 Kan5,nakhopkhan
น่าขยะแขยง,nA-3 Ka-2 ja?2 Ka-2 jYN5,nakhayakhayaeng
น่าขัน,nA-3 Kan5,nakhan
น่าขายหน้า,nA-3 KAj5 nA-3,nakhaina
น่าขำ,nA-3 Kam5,nakham
น่าคบหา,nA-3 Kop4 hA-5,nakhopha
น่าคิด,nA-3 Kit4,nakhit
น่าจะ,nA-3 ca?2,nacha
น่าจะเป็น,nA-3 ca?2 pen1,nachapen
น่าชม,nA-3 Com1,nachom
น่าชัง,nA-3 CaN1,nachang
น่าชื่นชม,nA-3 CVn3 Com1,nachuenchom
น่าดู,nA-3 dU-1,nadu
น่าตื่นเต้น,nA-3 tVn2 ten3,natuenten
น่าทึ่ง,nA-3 TvN3,nathueng
น่านน้ำ,nAn3 nam4,nannam
น่านน้ำอาณาเขต,nAn3 nAm4 ?A-1 nA-1 KEt2,nannamanakhet
น่านฟ้า,nAn3 fA-4,nanfa
น่านับถือ,nA-3 nap4 TV-5,nanapthue
น่าประทับใจ,nA-3 pra-1 Tap4 caj1,naprathapchai
น่าประหลาด,nA-3 pra-1 lAt2,napralat
น่าพอใจ,nA-3 PX-1 caj1,naphochai
น่าพิศวง,nA-3 Pit4 sa-1 woN5,naphitsawong
น่าพึงพอใจ,nA-3 PvN1 PX-1 caj1,naphuengphochai
น่าฟัง,nA-3 faN1,nafang
น่ามอง,nA-3 mXN1,namong
น่ายกย่อง,nA-3 jok4 jXN3,nayokyong
น่ายินดี,nA-3 jin1 dI-1,nayindi
น่าระอา,nA-3 ra?4 ?A-1,naraa
น่ารัก,nA-3 rak4,narak
น่ารักน่าชัง,nA-3 rak4 nA-3 CaN1,naraknachang
น่ารังเกียจ,nA-3 raN1 kJt2,narangkiat
น่ารับประทาน,nA-3 rap4 pra-1 TAn1,narapprathan
น่ารำคาญ,nA-3 ram1 KAn1,naramkhan
น่ารู้,nA-3 rU-4,naru
น่าวิตก,nA-3 wi?4 tok2,nawitok
น่าศรัทธา,nA-3 sat2 TA-1,nasattha
น่าสงสัย,nA-3 soN5 saj5,nasongsai
น่าสงสาร,nA-3 soN5 sAn5,nasongsan
น่าสนุก,nA-3 sa-1 nuk2,nasanuk
น่าสนใจ,nA-3 son5 caj1,nasonchai
น่าสมเพช,nA-3 som5 PEt3,nasomphet
น่าสยดสยอง,nA-3 sa-1 jot2 sa-1 jXN5,nasayotsayong
น่าสรรเสริญ,nA-3 san5 sZn5,nasansoen
น่าสะพรึงกลัว,nA-3 sa?2 PrvN1 klR-1,nasaphruengklua
น่าสะอิดสะเอียน,nA-3 sa?2 ?it2 sa?2 ?Jn1,nasaitsaian
น่าสังเวช,nA-3 saN5 wEt3,nasangwet
น่าหดหู่,nA-3 hot2 hU-2,nahothu
น่าหมั่นไส้,nA-3 man2 saj3,namansai
น่าหลงใหล,nA-3 loN5 laj5,nalonglai
น่าหัวเราะ,nA-3 hR-5 rx?4,nahuaro
น่าอนาถ,nA-3 ?a-2 nAt2,naanat
น่าอยู่,nA-3 jU-2,nayu
น่าอร่อย,nA-3 ?a-2 rXj2,naaroi
น่าอับอาย,nA-3 ?ap2 ?Aj1,naapai
น่าอัปยศ,nA-3 ?ap2 pa-2 jot4,naappayot
น่าอัปยศอดสู,nA-3 ?ap2 pa?2 jot4 ?ot2 sU-5,naappayototsu
น่าอัศจรรย์,nA-3 ?at2 sa-1 can1,naatsachan
น่าอาย,nA-3 ?Aj1,naai
น่าอิจฉา,nA-3 ?it2 CA-5,naitcha
น่าอ่าน,nA-3 ?An2,naan
น่าเกรงขาม,nA-3 krEN1 KAm5,nakrengkham
น่าเกลียด,nA-3 klJt2,nakliat
น่าเคารพ,nA-3 Kaw1 rop4,nakhaorop
น่าเชื่อ,nA-3 CW-3,nachuea
น่าเชื่อถือ,nA-3 CW-3 TV-5,nachueathue
น่าเบื่อ,nA-3 bW-2,nabuea
น่าเบื่อหน่าย,nA-3 bW-2 nAj2,nabueanai
น่าเป็นห่วง,nA-3 pen1 hRN2,napenhuang
น่าเร้าใจ,nA-3 rAw4 caj1,naraochai
น่าเลื่อมใส,nA-3 lWm3 saj5,nalueamsai
น่าเวทนา,nA-3 wEt3 Ta-4 nA-1,nawetthana
น่าเศร้า,nA-3 saw3,nasao
น่าเสียดาย,nA-3 sJ-5 dAj1,nasiadai
น่าเสียใจ,nA-3 sJ-5 caj1,nasiachai
น่าเอ็นดู,nA-3 ?en1 dU-1,naendu
น่าใจหาย,nA-3 caj1 hAj5,nachaihai
น่าไว้วางใจ,nA-3 waj4 wAN1 caj1,nawaiwangchai
น่าไว้ใจ,nA-3 waj4 caj1,nawaichai
น้องชาย,nXN4 CAj1,nongchai
น้องผัว,nXN4 PR-5,nongphua
น้องสาว,nXN4 sAw5,nongsao
น้องเขย,nXN4 KZj5,nongkhoei
น้องเมีย,nXN4 mJ-1,nongmia
น้องเลี้ยง,nXN4 lJN4,nongliang
น้องใหม่,nXN4 maj2,nongmai
น้องๆ,nXN4 nXN4,nongnong
น้อมนำ,nXm4 nam1,nomnam
น้อมเกล้าน้อมกระหม่อมถวาย,nXm4 klaw3 nXm4 kra-1 mXm2 Ta-2 wAj5,nomklaonomkramomthawai
น้อยกว่า,nXj4 kwA-2,noikwa
น้อยที่สุด,nXj4 TI-3 sut2,noithisut
น้อยลง,nXj4 loN1,noilong
น้อยหน่า,nXj4 nA-2,noina
น้อยหน้า,nXj4 nA-3,noina
น้อยอกน้อยใจ,nXj4 ?ok2 nXj4 caj1,noioknoichai
น้อยเนื้อต่ำใจ,nXj4 nW-4 tam2 caj1,noinueatamchai
น้อยโหน่ง,nXj4 nON2,noinong
น้อยใจ,nXj4 caj1,noichai
น้าชาย,nA-4 CAj1,nachai
น้ำกรด,nam4 krot2,namkrot
น้ำกระด้าง,nam4 kra-1 dAN3,namkradang
น้ำกระสาย,nam4 kra-1 sAj5,namkrasai
น้ำกร่อย,nam4 krXj2,namkroi
น้ำกลั่น,nam4 klan2,namklan
น้ำกะทิ,nam4 ka-1 Ti?4,namkathi
น้ำกาม,nam4 kAm1,namkam
น้ำกิน,nam4 kin1,namkin
น้ำขวด,nam4 KRt2,namkhuat
น้ำขาว,nam4 KAw5,namkhao
น้ำขึ้น,nam4 Kvn3,namkhuen
น้ำข้าว,nam4 KAw3,namkhao
น้ำครำ,nam4 Kram1,namkhram
น้ำคาวปลา,nam4 KAw1 plA-1,namkhaopla
น้ำคำ,nam4 Kam1,namkham
น้ำค้าง,nam4 KAN4,namkhang
น้ำค้างแข็ง,nam4 KAN4 KyN5,namkhangkhaeng
น้ำจัณฑ์,nam4 can1,namchan
น้ำจิ้ม,nam4 cim3,namchim
น้ำจืด,nam4 cVt2,namchuet
น้ำชา,nam4 CA-1,namcha
น้ำซาวข้าว,nam4 sAw1 KAw3,namsaokhao
น้ำดอกไม้,nam4 dXk2 mAj4,namdokmai
น้ำดิบ,nam4 dip2,namdip
น้ำดี,nam4 dI-1,namdi
น้ำดื่ม,nam4 dVm2,namduem
น้ำด่าง,nam4 dAN2,namdang
น้ำตก,nam4 tok2,namtok
น้ำตะไคร้,nam4 ta?2 Kraj4,namtakhrai
น้ำตับ,nam4 tap2,namtap
น้ำตา,nam4 tA-1,namta
น้ำตาตกใน,nam4 tA-1 tok2 naj1,namtatoknai
น้ำตาย,nam4 tAj1,namtai
น้ำตาล,nam4 tAn1,namtan
น้ำตาลกรวด,nam4 tAn1 krRt2,namtankruat
น้ำตาลทราย,nam4 tAn1 sAj1,namtansai
น้ำตาลปึก,nam4 tAn1 pvk2,namtanpuek
น้ำตาลเมา,nam4 tAn1 maw1,namtanmao
น้ำตาเช็ดหัวเข่า,nam4 tA-1 Cet4 hR-5 Kaw2,namtachethuakhao
น้ำต้ม,nam4 tom3,namtom
น้ำทะเล,nam4 Ta?4 lE-1,namthale
น้ำทิพย์,nam4 Tip4,namthip
น้ำทิ้ง,nam4 TiN4,namthing
น้ำท่วม,nam4 TRm3,namthuam
น้ำท่วมปาก,nam4 TRm3 pAk2,namthuampak
น้ำท่า,nam4 TA-3,namtha
น้ำนม,nam4 nom1,namnom
น้ำบาดาล,nam4 bA-1 dAn1,nambadan
น้ำประปา,nam4 pra-1 pA-1,namprapa
น้ำประสานทอง,nam4 pra-1 sAn5 TXN1,namprasanthong
น้ำปลา,nam4 plA-1,nampla
น้ำป่า,nam4 pA-2,nampa
น้ำผลไม้,nam4 Pon5 la-4 mAj4,namphonlamai
น้ำผึ้ง,nam4 PvN3,namphueng
น้ำผึ้งพระจันทร์,nam4 PvN3 Pra-4 can1,namphuengphrachan
น้ำฝน,nam4 fon5,namfon
น้ำพริก,nam4 Prik4,namphrik
น้ำพริกเผา,nam4 Prik4 Paw5,namphrikphao
น้ำพักน้ำแรง,nam4 Pak4 nam4 rYN1,namphaknamraeng
น้ำพุ,nam4 Pu?4,namphu
น้ำมนตร์,nam4 mon1,nammon
น้ำมนต์,nam4 mon1,nammon
น้ำมัน,nam4 man1,namman
น้ำมันก๊าด,nam4 man1 kAt4,nammankat
น้ำมันงา,nam4 man1 NA-1,nammannga
น้ำมันจันทน์,nam4 man1 can1,nammanchan
น้ำมันดิน,nam4 man1 din1,nammandin
น้ำมันดิบ,nam4 man1 dip2,nammandip
น้ำมันพราย,nam4 man1 PrAj1,nammanphrai
น้ำมันพืช,nam4 man1 PVt3,nammanphuet
น้ำมันมะกอก,nam4 man1 ma?4 kXk2,nammanmakok
น้ำมันยาง,nam4 man1 jAN1,nammanyang
น้ำมันรถ,nam4 man1 rot4,nammanrot
น้ำมันระกำ,nam4 man1 ra?4 kam1,nammanrakam
น้ำมันสน,nam4 man1 son5,nammanson
น้ำมันหมู,nam4 man1 mU-5,nammanmu
น้ำมันเครื่อง,nam4 man1 KrWN3,nammankhrueang
น้ำมันเชื้อเพลิง,nam4 man1 CW-4 PlZN1,nammanchueaphloeng
น้ำมันเตา,nam4 man1 taw1,nammantao
น้ำมันเบนซิน,nam4 man1 ben1 sin1,nammanbensin
น้ำมันใส่ผม,nam4 man1 saj2 Pom5,nammansaiphom
น้ำมือ,nam4 mV-1,nammue
น้ำมูก,nam4 mUk3,nammuk
น้ำยา,nam4 jA-1,namya
น้ำยาฆ่าเชื้อ,nAm4 jA-1 KA-3 CW-4,namyakhachuea
น้ำยาฆ่าเชื้อโรค,nAm4 jA-1 KA-3 CW-4 rOk3,namyakhachuearok
น้ำยาง,nam4 jAN1,namyang
น้ำยาบ้วนปาก,nam4 jA-1 bRn3 pAk2,namyabuanpak
น้ำยาล้างจาน,nam4 jA-1 lAN4 cAn1,namyalangchan
น้ำย่อย,nam4 jxj3,namyoi
น้ำรัก,nam4 rak4,namrak
น้ำร้อน,nam4 rXn4,namron
น้ำลง,nam4 loN1,namlong
น้ำลด,nam4 lot4,namlot
น้ำลาย,nam4 lAj1,namlai
น้ำลายไหล,nam4 lAj1 laj5,namlailai
น้ำวน,nam4 won1,namwon
น้ำสลัด,nam4 sa-1 lat2,namsalat
น้ำสังข์,nam4 saN5,namsang
น้ำสาบาน,nam4 sA-5 bAn1,namsaban
น้ำสุก,nam4 suk2,namsuk
น้ำส้ม,nam4 som3,namsom
น้ำส้มคั้น,nam4 som3 Kan4,namsomkhan
น้ำส้มสายชู,nam4 som3 sAj5 CU-1,namsomsaichu
น้ำหนอง,nam4 nXN5,namnong
น้ำหนัก,nam4 nak2,namnak
น้ำหนึ่ง,nam4 nvN2,namnueng
น้ำหนึ่งใจเดียวกัน,nam4 nvN2 caj1 dJw1 kan1,namnuengchaidiaokan
น้ำหน้า,nam4 nA-3,namna
น้ำหมาก,nam4 mAk2,nammak
น้ำหมึก,nam4 mvk2,nammuek
น้ำหลาก,nam4 lAk2,namlak
น้ำหวาน,nam4 wAn5,namwan
น้ำหอม,nam4 hXm5,namhom
น้ำอดน้ำทน,nam4 ?ot2 nam4 Ton1,namotnamthon
น้ำอบ,nam4 ?op2,namop
น้ำอสุจิ,nam4 ?a-2 su?2 ci?2,namasuchi
น้ำอัดลม,nam4 ?at2 lom1,namatlom
น้ำอ้อย,nam4 ?Xj3,namoi
น้ำเกลือ,nam4 klW-1,namkluea
น้ำเกิด,nam4 kZt2,namkoet
น้ำเคย,nam4 KZj1,namkhoei
น้ำเค็ม,nam4 Kem1,namkhem
น้ำเงิน,nam4 Nzn1,namngoen
น้ำเชื่อม,nam4 CWm3,namchueam
น้ำเชื้อ,nam4 CW-4,namchuea
น้ำเต้า,nam4 taw3,namtao
น้ำเต้าหู้,nam4 taw3 hU-3,namtaohu
น้ำเน่า,nam4 naw3,namnao
น้ำเปล่า,nam4 plAw2,namplao
น้ำเมา,nam4 maw1,nammao
น้ำเย็น,nam4 jen1,namyen
น้ำเลี้ยง,nam4 lJN4,namliang
น้ำเสีย,nam4 sJ-5,namsia
น้ำเสียง,nam4 sJN5,namsiang
น้ำเหลือง,nam4 lWN5,namlueang
น้ำแกง,nam4 kYN1,namkaeng
น้ำแข็ง,nam4 KyN5,namkhaeng
น้ำแข็งแห้ง,nam4 KyN5 hYN3,namkhaenghaeng
น้ำแร่,nam4 rY-3,namrae
น้ำใจ,nam4 caj1,namchai
น้ำใจนักกีฬา,nam4 caj1 nak4 kI-1 lA-1,namchainakkila
น้ำใต้ดิน,nam4 taj3 din1,namtaidin
น้ำใสใจจริง,nam4 saj5 caj1 ciN1,namsaichaiching
น้ำไหลไฟดับ,nam4 laj5 faj1 dap2,namlaifaidap
บกพร่อง,bok2 PrXN3,bokphrong
บงการ,boN1 kAn1,bongkan
บดบัง,bot2 baN1,botbang
บดี,bX-1 dI-1,bodi
บทกลอน,bot2 klXn1,botklon
บทกวี,bot2 ka-2 wI-1,botkawi
บทกวีนิพนธ์,bot2 ka-2 wI-1 ni?4 Pon1,botkawiniphon
บทความ,bot2 KwAm1,botkhwam
บทนำ,bot2 nam1,botnam
บทบรรณาธิการ,bot2 ban1 nA-1 Ti?4 kAn1,botbannathikan
บทบัญญัติ,bot2 ban1 jat2,botbanyat
บทบาท,bot2 bAt2,botbat
บทประพันธ์,bot2 pra-1 Pan1,botpraphan
บทพิสูจน์,bot2 Pi?4 sUt2,botphisut
บทลงโทษ,bot2 loN1 TOt3,botlongthot
บทละคร,bot2 la?4 KXn1,botlakhon
บทวิจารณ์,bot2 wi?4 cAn1,botwichan
บทวิเคราะห์,bot2 wi-4 Krx?4,botwikhro
บทสนทนา,bot2 son5 Ta-4 nA-1,botsonthana
บทสรุป,bot2 sa-1 rup4,botsarup
บทอาขยาน,bot2 ?A-1 Ka-2 jAn1,botakhayan
บทเฉพาะกาล,bot2 Ca-2 Px?4 kAn1,botchaphokan
บทเพลง,bot2 PlEN1,botphleng
บทเรียน,bot2 rJn1,botrian
บนบาน,bon1 bAn1,bonban
บพิตร,bX-1 Pit4,bophit
บพิตรพระราชสมภาร,bX-1 Pit4 Pra-4 rAt3 Ca-4 som5 PAn1,bophitphraratchasomphan
บร,bX-1 ra?4,bora
บรม,bX-1 rom1,borom
บรมราชาภิเษก,bx-1 rom1 rA-1 CA-1 Pi-4 sEk2,boromrachaphisek
บรมสุข,bX-1 rom1 suk2,boromsuk
บรรจง,ban1 coN1,banchong
บรรจบ,ban1 cop2,banchop
บรรจุ,ban1 cu?2,banchu
บรรจุขวด,ban1 cu-2 KRt2,banchukhuat
บรรจุภัณฑ์,ban1 cu?2 Pan1,banchuphan
บรรจุหีบห่อ,ban1 cu?2 hIp2 hX-2,banchuhipho
บรรณพิภพ,ban1 Pi?4 Pop4,banphiphop
บรรณาการ,ban1 nA-1 kAn1,bannakan
บรรณาธิกร,ban1 nA-1 Ti-4 kXn1,bannathikon
บรรณาธิการ,ban1 nA-1 Ti-4 kAn1,bannathikan
บรรณานุกรม,ban1 nA-1 nuk4 rom1,bannanukrom
บรรณารักษ์,ban1 nA-1 rak4,bannarak
บรรดา,ban1 dA-1,banda
บรรดาศักดิ์,ban1 dA-1 sak2,bandasak
บรรทม,ban1 Tom1,banthom
บรรทัด,ban1 Tat4,banthat
บรรทัดฐาน,ban1 Tat4 TAn5,banthatthan
บรรทุก,ban1 Tuk4,banthuk
บรรพกาล,ban1 Pa-4 kAn1,banphakan
บรรพชน,ban1 Pa-4 Con1,banphachon
บรรพชิต,bap2 Cit4,bapchit
บรรพบุรุษ,ban1 Pa-4 bu?2 rut2,banphaburut
บรรยากาศ,ban1 jA-1 kAt2,banyakat
บรรยาย,ban1 jAj1,banyai
บรรยายสรุป,ban1 jAj1 sa-1 rup2,banyaisarup
บรรยเวกษก์,ban1 ja?4 wEk3,banyawek
บรรลัย,ban1 laj1,banlai
บรรลัยจักร,ban1 laj1 ja-4 cak2,banlaiyachak
บรรลาย,ban1 lAj1,banlai
บรรลุ,ban1 lu?4,banlu
บรรลุนิติภาวะ,ban1 lu?4 ni-4 ti?2 PA-1 wa?4,banlunitiphawa
บรรลุผล,ban1 lu?4 Pon5,banluphon
บรรลุเป้าหมาย,ban1 lu?4 paw3 mAj5,banlupaomai
บรรษัท,ban1 sat2,bansat
บรรษัทข้ามชาติ,ban1 sat2 KAm3 CAt3,bansatkhamchat
บรรษัทภิบาล,ban1 sat2 Pi-4 bAn1,bansatphiban
บรรเจิด,ban1 cZt2,banchoet
บรรเทา,ban1 Taw1,banthao
บรรเทาทุกข์,ban1 Taw1 Tuk4,banthaothuk
บรรเทาเบาบาง,ban1 Taw1 baw1 bAN1,banthaobaobang
บรรเทือง,ban1 TWN1,banthueang
บรรเลง,ban1 lEN1,banleng
บรอดเวย์,brXt2 wE-1,brotwe
บรัสเซลส์,brat2 sEn1,bratsen
บรั่นดี,bran2 dI-1,brandi
บราง,bx?2 rAN1,borang
บราซิล,brA-1 sin1,brasin
บราซิเลีย,brA-1 si?4 lJ-1,brasilia
บราวเซอร์,brAw1 sZ-1,braosoe
บริกร,bx?2 ri?4 kXn1,borikon
บริกรรม,bX-1 ri?4 kam1,borikam
บริการ,bX-1 ri?4 kAn1,borikan
บริการสาธารณะ,bX-1 ri-4 kAn1 sA-5 TA-1 ra-4 na-4,borikansatharana
บริขาร,bX-1 ri?4 KAn5,borikhan
บริคณห์,ba?2 ri?4 Kon1,barikhon
บริคณห์สนธิ,ba?2 ri?4 Kon1 son5 Ti?4,barikhonsonthi
บริจาค,bX-1 ri?4 cAk2,borichak
บริจาริกา,bx?2 ri?4 cA-1 ri?4 kA-1,boricharika
บริติช,bri?2 tit2,britit
บริบท,bX-1 ri?4 bot2,boribot
บริบวรณ์,bx?2 ri?4 bRn1,boribuan
บริบาล,bX-1 ri?4 bAn1,boriban
